Day,Insolation
1,0.57
2,0.65
3,0.7
4,0.47
5,0.49
6,0.92
7,0.48
8,0.84
9,0.88
10,0.44
11,0.36
12,1.08
13,0.81
14,0.66
15,0.41
16,0.95
17,0.89
18,1.4
19,0.63
20,0.5
21,0.47
22,0.61
23,0.44
24,1.53
25,0.56
26,1.14
27,1.36
28,1.22
29,1.69
30,0.44
31,0.74
32,0.43
33,0.74
34,0.47
35,0.69
36,0.97
37,1.08
38,1.8
39,2.04
40,0.95
41,0.95
42,1.74
43,0.48
44,2.23
45,2.12
46,2.75
47,1.45
48,1.7
49,2.42
50,2.61
51,0.96
52,1.31
53,1.7
54,2.46
55,1.19
56,1.74
57,1.8
58,1.94
59,2.19
60,3.14
61,3.19
62,2.34
63,0.97
64,1.59
65,2.04
66,3
67,3.17
68,3.22
69,3.15
70,3.4
71,0.33
72,1.7
73,2.69
74,2.5
75,1.09
76,2.9
77,1.89
78,2.13
79,2.43
80,2.04
81,3.89
82,3.71
83,3.5
84,3.82
85,2
86,3.99
87,1.78
88,3.17
89,4.69
90,4.77
91,3.66
92,1.6
93,3.93
94,2.05
95,4.11
96,3.05
97,3.66
98,4.62
99,3.44
100,5.1
101,3.38
102,2.99
103,4.73
104,5.29
105,4.03
106,1.85
107,4.23
108,3.67
109,2.67
110,5.5
111,2.04
112,2.64
113,6.16
114,5.55
115,6.09
116,6.4
117,5.2
118,5
119,2.66
120,4.99
121,3.96
122,2.18
123,7.35
124,6.94
125,4.76
126,3.93
127,5.93
128,5.26
129,6.8
130,6.14
131,4.7
132,4.6
133,3.29
134,2.77
135,5.76
136,6.04
137,6.82
138,7.09
139,7.56
140,6.38
141,6.91
142,7.24
143,6.95
144,6.8
145,7.59
146,7.11
147,6.65
148,5.86
149,2.3
150,6.64
151,6.04
152,1.62
153,5.23
154,7.38
155,6.43
156,3.94
157,5.42
158,5.09
159,7.55
160,4.3
161,2.69
162,4.88
163,7.24
164,7.37
165,7.41
166,7.54
167,8.47
168,7.39
169,3.7
170,3.11
171,7.08
172,4.23
173,6.86
174,1.06
175,5.96
176,7.55
177,7.72
178,1.84
179,5.93
180,5.29
181,5.2
182,4.27
183,4.57
184,5.14
185,5.84
186,5.67
187,7.89
188,7.45
189,1.14
190,3.49
191,7.36
192,4.75
193,3.68
194,6.72
195,4.05
196,3.25
197,4.05
198,3.3
199,5.05
200,5.6
201,4.01
202,2.46
203,4.56
204,3.04
205,7.41
206,4.78
207,5.01
208,3.76
209,2.75
210,4.55
211,2.92
212,5.38
213,5.96
214,6.39
215,4.38
216,5.27
217,5.06
218,5.14
219,5.1
220,6.21
221,2.05
222,5.69
223,5.1
224,3.08
225,5.05
226,4.71
227,4.41
228,3.29
229,4.96
230,3.04
231,3.96
232,6.27
233,3.97
234,4.79
235,2.52
236,4.92
237,3.04
238,4.15
239,4.08
240,2
241,3.77
242,3.39
243,5.2
244,5.55
245,4.98
246,5.24
247,4.43
248,2.99
249,4.19
250,5.13
251,4.7
252,4.9
253,4.34
254,2.08
255,2.81
256,1.83
257,4.28
258,3.94
259,4.19
260,2.77
261,2.19
262,3.37
263,3.42
264,2.62
265,3.29
266,1.94
267,1.57
268,3.54
269,1.43
270,1.79
271,2.11
272,2.03
273,1.46
274,2.57
275,1.51
276,2.25
277,0.67
278,3.49
279,3.04
280,2.9
281,2.7
282,2.98
283,0.8
284,0.57
285,0.82
286,2.28
287,2.51
288,1.96
289,2.03
290,1.58
291,2.11
292,1.88
293,2.35
294,0.85
295,1.78
296,0.61
297,0.42
298,1.59
299,1.82
300,2.02
301,0.32
302,0.88
303,1.43
304,1.91
305,1.26
306,1.01
307,0.88
308,1.16
309,2.04
310,0.63
311,1.39
312,0.39
313,0.8
314,0.86
315,1.4
316,0.53
317,1.14
318,1.57
319,1.17
320,0.65
321,0.94
322,0.91
323,0.68
324,0.85
325,0.54
326,0.56
327,0.7
328,0.58
329,0.5
330,0.38
331,0.91
332,0.46
333,1.03
334,1.28
335,0.49
336,1.11
337,1.17
338,0.9
339,0.81
340,0.56
341,0.93
342,0.33
343,0.48
344,0.93
345,0.36
346,0.3
347,0.31
348,0.36
349,0.22
350,0.49
351,0.76
352,0.89
353,0.34
354,0.44
355,0.64
356,0.9
357,0.32
358,0.33
359,0.55
360,0.46
361,0.69
362,0.4
363,0.91
364,0.63
365,0.52
366,0.92
