YEAR,MO,DY,swv_dwn,T10M,T10MC
1983,07,01,5.79,14.20,14.26
1983,07,02,5.51,15.72,15.78
1983,07,03,8.57,16.57,16.63
1983,07,04,8.61,17.61,17.67
1983,07,05,8.32,17.70,17.76
1983,07,06,7.01,17.47,17.53
1983,07,07,8.20,17.74,17.80
1983,07,08,7.08,18.76,18.82
1983,07,09,5.21,18.83,18.89
1983,07,10,3.18,21.03,21.09
1983,07,11,2.88,20.46,20.52
1983,07,12,6.14,21.76,21.82
1983,07,13,7.20,23.07,23.13
1983,07,14,7.39,22.23,22.29
1983,07,15,7.18,20.68,20.74
1983,07,16,5.24,20.67,20.73
1983,07,17,5.29,19.52,19.58
1983,07,18,6.81,18.20,18.26
1983,07,19,7.43,16.79,16.85
1983,07,20,6.68,17.48,17.54
1983,07,21,7.07,17.54,17.60
1983,07,22,4.72,19.24,19.30
1983,07,23,4.64,17.38,17.44
1983,07,24,5.49,17.54,17.60
1983,07,25,6.23,15.50,15.56
1983,07,26,4.89,17.78,17.84
1983,07,27,6.58,19.71,19.77
1983,07,28,7.18,18.37,18.43
1983,07,29,7.16,18.84,18.90
1983,07,30,6.69,18.56,18.62
1983,07,31,2.72,19.56,19.62
1983,08,01,6.48,16.56,16.62
1983,08,02,6.58,15.26,15.32
1983,08,03,7.50,16.10,16.16
1983,08,04,5.56,15.94,16.00
1983,08,05,4.74,16.18,16.24
1983,08,06,7.19,17.66,17.72
1983,08,07,5.83,18.80,18.86
1983,08,08,6.39,18.52,18.58
1983,08,09,5.88,19.62,19.68
1983,08,10,6.56,19.49,19.55
1983,08,11,6.54,18.85,18.91
1983,08,12,5.51,17.88,17.94
1983,08,13,7.27,16.49,16.55
1983,08,14,7.06,17.36,17.42
1983,08,15,6.56,17.04,17.10
1983,08,16,4.44,17.27,17.33
1983,08,17,6.65,17.53,17.59
1983,08,18,3.64,18.32,18.38
1983,08,19,2.75,19.98,20.04
1983,08,20,4.13,17.69,17.75
1983,08,21,5.27,16.34,16.40
1983,08,22,3.89,17.35,17.41
1983,08,23,3.97,17.89,17.95
1983,08,24,4.28,19.21,19.27
1983,08,25,4.76,18.11,18.17
1983,08,26,5.52,18.19,18.25
1983,08,27,5.11,17.70,17.76
1983,08,28,4.16,18.36,18.42
1983,08,29,6.17,15.22,15.28
1983,08,30,5.89,15.66,15.72
1983,08,31,2.87,16.63,16.69
1983,09,01,5.61,16.73,16.79
1983,09,02,2.26,18.07,18.13
1983,09,03,4.86,14.77,14.83
1983,09,04,3.08,17.40,17.46
1983,09,05,5.18,15.40,15.46
1983,09,06,4.16,14.94,15.00
1983,09,07,3.51,14.39,14.45
1983,09,08,2.33,17.51,17.57
1983,09,09,2.95,15.84,15.90
1983,09,10,3.39,13.35,13.41
1983,09,11,2.34,12.67,12.73
1983,09,12,1.91,12.24,12.30
1983,09,13,2.20,15.20,15.26
1983,09,14,2.02,16.29,16.35
1983,09,15,3.38,16.67,16.73
1983,09,16,3.66,14.23,14.29
1983,09,17,4.11,12.93,12.99
1983,09,18,4.36,15.94,16.00
1983,09,19,4.25,14.04,14.10
1983,09,20,2.27,13.73,13.79
1983,09,21,2.29,14.49,14.55
1983,09,22,1.41,13.01,13.07
1983,09,23,2.15,17.64,17.70
1983,09,24,2.95,17.94,18.00
1983,09,25,3.64,15.64,15.70
1983,09,26,1.98,15.81,15.87
1983,09,27,2.55,16.61,16.67
1983,09,28,2.02,17.04,17.10
1983,09,29,2.81,15.35,15.41
1983,09,30,1.60,16.57,16.63
1983,10,01,1.97,16.30,16.36
1983,10,02,1.97,15.64,15.70
1983,10,03,1.18,16.66,16.72
1983,10,04,2.74,17.28,17.34
1983,10,05,3.10,14.46,14.52
1983,10,06,3.15,13.35,13.41
1983,10,07,2.54,14.64,14.70
1983,10,08,1.06,14.07,14.13
1983,10,09,1.29,16.18,16.24
1983,10,10,3.10,14.68,14.74
1983,10,11,2.91,13.41,13.47
1983,10,12,2.02,16.09,16.15
1983,10,13,1.61,14.60,14.66
1983,10,14,1.89,11.51,11.57
1983,10,15,0.73,14.81,14.87
1983,10,16,2.47,11.69,11.75
1983,10,17,1.21,11.42,11.48
1983,10,18,1.39,14.90,14.96
1983,10,19,2.73,13.18,13.24
1983,10,20,0.73,11.54,11.60
1983,10,21,1.51,11.83,11.89
1983,10,22,2.49,11.34,11.40
1983,10,23,2.57,12.53,12.59
1983,10,24,2.30,10.73,10.79
1983,10,25,1.86,11.56,11.62
1983,10,26,1.33,11.75,11.81
1983,10,27,1.77,10.43,10.49
1983,10,28,2.04,10.88,10.94
1983,10,29,2.63,7.19,7.25
1983,10,30,0.81,10.04,10.10
1983,10,31,1.47,12.64,12.70
1983,11,01,0.84,12.33,12.39
1983,11,02,0.89,10.98,11.04
1983,11,03,0.76,12.29,12.35
1983,11,04,0.89,9.73,9.79
1983,11,05,1.95,8.85,8.91
1983,11,06,0.96,10.67,10.73
1983,11,07,1.02,13.66,13.72
1983,11,08,1.33,13.64,13.70
1983,11,09,1.00,14.13,14.19
1983,11,10,1.49,15.18,15.24
1983,11,11,1.77,12.78,12.84
1983,11,12,0.72,10.71,10.77
1983,11,13,0.74,9.45,9.51
1983,11,14,1.54,7.58,7.64
1983,11,15,1.81,7.41,7.47
1983,11,16,0.57,8.05,8.11
1983,11,17,0.74,7.70,7.76
1983,11,18,0.38,7.84,7.90
1983,11,19,0.74,9.91,9.97
1983,11,20,0.50,9.39,9.45
1983,11,21,1.54,6.10,6.16
1983,11,22,1.22,6.28,6.34
1983,11,23,0.91,6.93,6.99
1983,11,24,0.84,11.49,11.55
1983,11,25,0.36,14.96,15.02
1983,11,26,0.41,14.39,14.45
1983,11,27,0.91,12.72,12.78
1983,11,28,0.86,10.29,10.35
1983,11,29,0.68,11.09,11.15
1983,11,30,0.52,11.16,11.22
1983,12,01,1.09,10.92,10.98
1983,12,02,1.29,10.79,10.85
1983,12,03,1.46,10.02,10.08
1983,12,04,1.20,10.42,10.48
1983,12,05,0.59,9.27,9.33
1983,12,06,1.03,7.84,7.90
1983,12,07,0.35,8.09,8.15
1983,12,08,0.35,12.92,12.98
1983,12,09,0.34,11.56,11.62
1983,12,10,0.70,5.65,5.71
1983,12,11,0.50,6.24,6.30
1983,12,12,0.97,8.19,8.25
1983,12,13,0.47,10.23,10.29
1983,12,14,0.27,11.81,11.87
1983,12,15,1.10,10.02,10.08
1983,12,16,0.39,9.23,9.29
1983,12,17,0.92,9.62,9.68
1983,12,18,0.42,8.96,9.02
1983,12,19,0.36,9.28,9.34
1983,12,20,0.58,10.19,10.25
1983,12,21,0.68,8.92,8.98
1983,12,22,0.97,11.69,11.75
1983,12,23,0.47,8.98,9.04
1983,12,24,0.45,14.37,14.43
1983,12,25,0.68,9.44,9.50
1983,12,26,1.08,10.15,10.21
1983,12,27,0.71,10.91,10.97
1983,12,28,0.72,10.67,10.73
1983,12,29,0.57,9.04,9.10
1983,12,30,1.09,8.99,9.05
1983,12,31,0.48,9.72,9.78
1984,01,01,0.44,11.33,11.39
1984,01,02,0.28,11.69,11.75
1984,01,03,0.72,8.73,8.79
1984,01,04,1.07,6.77,6.83
1984,01,05,0.62,9.08,9.14
1984,01,06,0.46,9.86,9.92
1984,01,07,0.96,10.36,10.42
1984,01,08,0.79,7.20,7.26
1984,01,09,0.90,5.77,5.83
1984,01,10,0.51,10.91,10.97
1984,01,11,0.85,13.16,13.22
1984,01,12,0.95,7.77,7.83
1984,01,13,0.95,11.71,11.77
1984,01,14,0.67,10.72,10.78
1984,01,15,0.95,6.96,7.02
1984,01,16,0.41,10.06,10.12
1984,01,17,1.03,7.25,7.31
1984,01,18,0.86,7.50,7.56
1984,01,19,1.51,4.76,4.82
1984,01,20,0.94,3.67,3.73
1984,01,21,0.57,5.69,5.75
1984,01,22,0.87,8.99,9.05
1984,01,23,0.99,9.63,9.69
1984,01,24,1.32,4.86,4.92
1984,01,25,0.65,6.30,6.36
1984,01,26,0.79,9.09,9.15
1984,01,27,0.54,7.21,7.27
1984,01,28,0.88,7.21,7.27
1984,01,29,1.32,8.74,8.80
1984,01,30,0.77,9.26,9.32
1984,01,31,1.47,8.03,8.09
1984,02,01,0.86,9.60,9.66
1984,02,02,1.35,6.46,6.52
1984,02,03,1.85,11.30,11.36
1984,02,04,1.22,10.90,10.96
1984,02,05,1.08,8.34,8.40
1984,02,06,0.73,11.54,11.60
1984,02,07,1.27,9.51,9.57
1984,02,08,2.05,10.46,10.52
1984,02,09,2.43,5.60,5.66
1984,02,10,1.45,6.24,6.30
1984,02,11,1.38,6.04,6.10
1984,02,12,0.74,6.21,6.27
1984,02,13,2.13,6.78,6.84
1984,02,14,1.92,5.74,5.80
1984,02,15,2.19,6.05,6.11
1984,02,16,1.53,6.66,6.72
1984,02,17,1.52,7.88,7.94
1984,02,18,2.78,7.29,7.35
1984,02,19,0.89,5.93,5.99
1984,02,20,0.83,7.81,7.87
1984,02,21,1.16,7.93,7.99
1984,02,22,1.47,6.77,6.83
1984,02,23,1.87,5.70,5.76
1984,02,24,1.60,2.91,2.97
1984,02,25,1.02,2.91,2.97
1984,02,26,0.97,2.76,2.82
1984,02,27,1.29,4.68,4.74
1984,02,28,2.45,4.86,4.92
1984,02,29,1.38,5.04,5.10
1984,03,01,2.12,7.51,7.57
1984,03,02,2.51,6.72,6.78
1984,03,03,2.95,5.91,5.97
1984,03,04,2.83,7.44,7.50
1984,03,05,2.23,6.34,6.40
1984,03,06,2.71,7.90,7.96
1984,03,07,2.29,7.86,7.92
1984,03,08,3.38,5.72,5.78
1984,03,09,2.69,4.76,4.82
1984,03,10,1.65,5.86,5.92
1984,03,11,1.77,5.30,5.36
1984,03,12,2.19,7.00,7.06
1984,03,13,2.64,5.65,5.71
1984,03,14,3.36,5.67,5.73
1984,03,15,1.83,6.07,6.13
1984,03,16,2.31,4.60,4.66
1984,03,17,1.40,3.73,3.79
1984,03,18,1.37,3.95,4.01
1984,03,19,1.71,4.20,4.26
1984,03,20,2.06,4.84,4.90
1984,03,21,3.02,6.11,6.17
1984,03,22,4.36,6.74,6.80
1984,03,23,1.29,8.88,8.94
1984,03,24,3.46,6.97,7.03
1984,03,25,2.57,6.85,6.91
1984,03,26,4.30,7.33,7.39
1984,03,27,4.21,8.95,9.01
1984,03,28,4.17,7.50,7.56
1984,03,29,5.11,5.29,5.35
1984,03,30,4.55,5.29,5.35
1984,03,31,1.60,6.79,6.85
1984,04,01,4.46,4.59,4.65
1984,04,02,5.08,3.35,3.41
1984,04,03,2.96,6.68,6.74
1984,04,04,2.56,7.63,7.69
1984,04,05,2.92,6.55,6.61
1984,04,06,4.04,7.14,7.20
