wkt_geom,STATUS,LOCATION,APP_NO,DECISION,CapacityMw,Type,lon,lat
Point (-5.12142749725211388 50.24128753530322911),Operational,"Wheal Jane mine, Baldhu, Truro",PA10/03993   (CC Ref : C1/1(3)),9/17/2010,1.55,Operational,-5.1214,50.2413
Point (-4.78411742289643804 50.53965561448461585),Operational,"Benbole Farm, St Kew Highway, Bodmin",PA10/04656,12/20/2010,1.7,Operational,-4.7841,50.5397
Point (-4.66554882923690251 50.4315721075028236),Operational,"Land at Polmaugan Farm, Trebyan, Lostwithiel",PA10/05105,12/21/2010,5,Operational,-4.6655,50.4316
Point (-4.95669754746552638 50.36700912880051106),Operational,"Land at Trefullock, Summercourt, Newquay",PA10/06679,1/7/2011,5,Operational,-4.9567,50.367
Point (-4.75367670361865446 50.40200386948414746),Operational,"Trenowth Farm, Luxulyan, Bodmin",PA10/07114,2/15/2011,2.5,Operational,-4.7537,50.402
Point (-4.44886982759417648 50.69818910421097513),Operational,"Land at Winsdon Farm, North Petherwin, Launceston",PA10/06811,1/28/2011,5,Operational,-4.4489,50.6982
Point (-5.14076331553454757 50.30363792516575927),Operational,"Little Lambriggan, Penhallow, Truro",PA10/07942,3/3/2011,5.2,Operational,-5.1408,50.3036
Point (-4.80464932744913398 50.42269425890548717),Operational,"Land at Woodlands Barton, Roche, St Austell",PA10/07307,2/4/2011,4.5,Operational,-4.8046,50.4227
Point (-5.11333336473462197 50.28778496014927413),Operational,"Causilgey Barton, Tregavethan, Truro",PA10/07837,4/18/2011,5,Operational,-5.1133,50.2878
Point (-4.92920046721015748 50.34428080397436389),Operational,"Land at Hewas Farm, Ladock, Truro",PA10/08675,4/15/2011,6,Operational,-4.9292,50.3443
Point (-4.88960523725153529 50.50397586036606157),Operational,"Land East of Hawksland, Whitecross, Wadebridge",PA10/08667,5/24/2011,5,Operational,-4.8896,50.504
Point (-4.47218893555373498 50.91989863639599889),Operational,"Land near Eastcott Cross, near Bude",PA10/08695,4/18/2011,5,Operational,-4.4722,50.9199
Point (-5.08457700515664346 50.30244197465013656),Operational,"Chynoweth Farm, St Allen, Truro",PA10/08705,4/8/2011,2.3,Operational,-5.0846,50.3024
Point (-5.00560645666747472 50.43065128679076992),Operational,"Newquay Airport, Trebarber, St Mawgan, Newquay",PA11/00498,4/18/2011,4.99,Operational,-5.0056,50.4307
Point (-4.92677790554591688 50.42385760669694861),Operational,"Trekenning Farm, Trekenning, Newquay",PA11/00560,4/28/2011,5.84,Operational,-4.9268,50.4239
Point (-5.20925344137213742 50.04125491167351214),Operational,"Bonython Estate, Cury Cross Lanes, Helston",PA11/00559,4/18/2011,5,Operational,-5.2093,50.0413
Point (-4.80193550451569617 50.52228679088320717),Operational,"Middle Treworder Farm, Egloshayle, Wadebridge",PA11/00777,5/6/2011,5,Operational,-4.8019,50.5223
Point (-4.32897908147053645 50.50939920496020363),Operational,"Land at Haye Lane, Callington",PA11/00774,9/26/2011,5,Operational,-4.329,50.5094
Point (-5.12971902632127108 50.13027775501057448),Operational,"Higher Tregarne, Mawnan Smith, Falmouth",PA11/00674,4/18/2011,5,Operational,-5.1297,50.1303
Point (-4.82985147852357244 50.33670273645791582),Operational,"Manor Farm, Burngullow Lane, High Street, St Austell",PA11/00670,4/14/2011,5,Operational,-4.8299,50.3367
Point (-4.44166430047938832 50.86637037307071552),Operational,"East Langford Farm, Kilkhampton, Bude",PA11/01139,4/18/2011,5,Operational,-4.4417,50.8664
Point (-5.36699721440056443 50.2149426578564686),Operational,"Land S of Nanterrow Cottage, Nanterrow Lane, Gwithian, Hayle",PA11/00751,4/14/2011,5,Operational,-5.367,50.2149
Point (-4.84271527461591855 50.32369998076307382),Operational,"Ninnis Farm, Sticker, St Austell",PA11/01432,6/3/2011,5,Operational,-4.8427,50.3237
Point (-4.29043734763282103 50.44688133407029795),Operational,"Howton Farm, Pillaton, Saltash",PA11/00311,4/18/2011,5,Operational,-4.2904,50.4469
Point (-4.42482672771695107 50.71133075643285082),Operational,"Land NW of The Grange, Boyton, Launceston",PA11/01592,5/24/2011,5,Operational,-4.4248,50.7113
Point (-4.7383288861616446 50.4831766250975349),Operational,"Lower Bodiniel Farm, Bodiniel Road, Bodmin",PA11/01747,6/7/2011,5,Operational,-4.7383,50.4832
Point (-4.95008741525430107 50.4931568073134045),Operational,"Trenouth Farm, St Ervan, Wadebridge",PA11/00760,4/15/2011,2.8,Operational,-4.9501,50.4932
Point (-5.0813272112280119 50.39785020663805426),Operational,"Land at Trevemper, Crantock",PA11/00374,4/18/2011,1.2,Operational,-5.0813,50.3979
Point (-5.04490011793030213 50.39645676975694499),Operational,"Trevilley Farm, Lane, Newquay",PA11/03163,7/14/2011,1.5,Operational,-5.0449,50.3965
Point (-4.84459646022483881 50.3941484827912447),Approved and under construction,"Gilleys Mica Dam, St Austell",PA11/03436,8/5/2011,6,Under Construction,-4.8446,50.3941
Point (-4.78465700946975225 50.53978867479957415),Operational,"Benbole Farm, St Kew Highway, Bodmin",PA11/03425,7/6/2011,0.3,Operational,-4.7847,50.5398
Point (-5.36532872547739803 50.21160102095923605),Operational,"Hope Farm, seven adjoining fields off Gwithian Road approximately 500M N of The A30.",PA12/00827,8/30/2012,6.2,Operational,-5.3653,50.2116
Point (-4.77610539799393319 50.43990556830864591),Operational,"Clann Farm, Clan Lane, Lanivet, Bodmin",PA12/02871,10/5/2012,1.41,Operational,-4.7761,50.4399
Point (-4.42793503482367345 50.451679822273654),Operational,"Trevartha Farm, Pengover, Liskeard",PA12/01530,8/1/2012,3,Operational,-4.4279,50.4517
Point (-4.59647542334853298 50.39138981587673527),Operational,"Langunnett Farm, St Veep, Lostwithiel",PA12/02354,7/30/2012,5,Operational,-4.5965,50.3914
Point (-5.13830169068959641 50.30402898648067378),Operational,"Land E of Little Lambriggan Farm, Callestick",PA12/02338,3/1/2013,1.4,Operational,-5.1383,50.304
Point (-4.92718226822458671 50.46364336384196037),Operational,"Land NW of Southmoor Farm, Winnards Perch, St Columb",PA12/05258,10/26/2012,8.3,Operational,-4.9272,50.4636
Point (-5.18681295916453156 50.15178705444168372),Operational,"Little Trevease, Constantine, Falmouth",,10/26/2012,5,Operational,-5.1868,50.1518
"LittleTrevease, Constantine, Falmouth",PA12/04124,,,,,,,
Point (-5.00993494986484755 50.33718482760419732),Pre application - closed/issued,"Land Adj to Hendra Barns, Mitchell",PREAPP12/01157,7/4/2012,0,Pre application public,-5.0099,50.3372
Point (-4.95351091156218981 50.34105330524531752),Pre application - closed/issued,"Land Adj to Homer Downs (Trendeal), Ladock",PREAPP12/01172,7/11/2012,0,Pre application public,-4.9535,50.3411
Point (-4.45195472511017876 50.40718308378286849),Operational,"Pensipple Farm, Trewidland",PA12/04228,3/6/2013,5,Operational,-4.452,50.4072
Point (-4.94406556996385493 50.36115107702363503),Pre application - closed/issued,"Burthy Farm, Summercourt, Newquay",PA12/02125/PREAPP,6/27/2012,0,Pre application public,-4.9441,50.3612
Point (-4.75659267208911807 50.40776595218359546),Operational,"Tredinnick Fields, Luxulyan, Bodmin",PA12/04998,8/31/2012,5.8,Operational,-4.7566,50.4078
Point (-4.36886239521499853 50.42453927784973189),Pre application - closed/issued,"Land At Trequite Farm, Menheniot, Liskeard",PA12/02110/PREAPP,7/2/2012,0,Pre application public,-4.3689,50.4245
Point (-5.01574892940566563 50.30663818593593106),Operational,"Land at Tregassow Farm, St Erme, Truro",,11/16/2012,6,Operational,-5.0157,50.3066
,PA12/04244,,,,,,,
Point (-4.7544816705932007 50.39433340826711571),Pre application - closed/issued,"Tregarrick Farm, Bodiggo, Luxulyan, Bodmin",PA12/02111/PREAPP,6/21/2012,0,Pre application public,-4.7545,50.3943
Point (-4.95748964664296921 50.37321661578989307),Operational,"Land At Glebe Farm, Narrow Lane, Penhale, Summercourt, Newquay",PA12/05890,10/31/2012,1.096,Operational,-4.9575,50.3732
Point (-4.3343615270491771 50.42155213756206678),Application refused on appeal,"Land at Lanthrone, Tideford Cross Lane, Tideford",PA12/05854,6/13/2014,5,Appeal dismissed,-4.3344,50.4216
Point (-5.11064217002801691 50.38331480484885816),Operational,"Land at Carines Farm, Cubert, Newquay",PA12/06913,12/11/2012,1.013,Operational,-5.1106,50.3833
Point (-5.14580609053833893 50.28882754273196554),Pre application - closed/issued,"Land Adjacent To Roscarnick Farm, Threeburrows, Blackwater, Truro",PA12/02208/PREAPP,12/3/2012,5,Pre application public,-5.1458,50.2888
Point (-4.37930356311613522 50.47395238698153008),Operational,"Ford Farm, St Ive, Liskeard",PA12/06666,10/5/2012,5,Operational,-4.3793,50.474
Point (-4.35016008590931769 50.54214618834171802),Operational,"Trefinnick Farm, Trefinnick Road, Bray Shop, Callington",PA12/07093,12/21/2012,5,Operational,-4.3502,50.5421
Point (-5.15848518673071421 50.15205041001868835),Pre application - closed/issued,"Yew Tree Cottage, Penryn",PA12/02408/PREAPP,11/9/2012,0,Pre application public,-5.1585,50.1521
Point (-5.3345278128776723 50.21206132069452366),Pre application - closed/issued,"Merry Meeting Farm, Roseworthy Hill, Roseworthy, Camborne",PA12/02424/PREAPP,11/2/2012,5,Pre application public,-5.3345,50.2121
Point (-4.77272962751467578 50.439657150503308),Pre application - closed/issued,"Clann Farm, Lanivet, Bodmin",PA12/02409/PREAPP,11/9/2012,0,Pre application public,-4.7727,50.4397
Point (-4.38412744846853109 50.48630147539584101),Pre application - closed/issued,"Land South of Gang, St Ive, Liskeard",PA12/02439/PREAPP,11/9/2012,5,Pre application public,-4.3841,50.4863
Point (-4.68941284616203991 50.42066193653144524),Operational on appeal,"Rew Farm, Sweetshouse, Bodmin",PA12/08097,6/10/2013,6.12,Operational on appeal,-4.6894,50.4207
Point (-4.93338612269028776 50.42626614906728122),Pre application - closed/issued,"Roserrans Farm, St Columb",PREAPP12/01216,8/29/2012,0,Pre application public,-4.9334,50.4263
Point (-4.50021287458101238 50.71141703312611781),Operational,"Land West Of South Wheatley, Wheatley Road, Maxworthy, Launceston",PA12/07626,1/21/2013,25,Operational,-4.5002,50.7114
Point (-4.43491562043318499 50.60877774424425013),Pre application - closed/issued,"Land East of Treguddick Mill, South Petherwin, Launceston",PA12/01898/PREAPP,9/4/2012,0,Pre application public,-4.4349,50.6088
Point (-4.32497574257921791 50.60527149457040252),Pre application - closed/issued,"Hexworthy House North, Lawhitton, Launceston",PA12/02695/PREAPP,2/25/2013,10,Pre application public,-4.325,50.6053
Point (-5.38709563085386556 50.17694965464202994),Operational,"Higher Trenhayle Farm, Land Off Wheal Alfred Road, Hayle",PA12/08856,2/12/2013,3.48,Operational,-5.3871,50.1769
Point (-5.09560502250071767 50.30502521133887228),Operational,"Land Adj Nanteague Farm, Marazanvose, Truro",PA12/08053,4/9/2013,5,Operational,-5.0956,50.305
Point (-4.89891932596222812 50.35999096577768341),Operational,"Kernick Mica Dam, Trethosa Downs, Trethosa, St Stephen",PA12/07557,1/31/2013,11.193,Operational,-4.8989,50.36
Point (-4.23344719636414091 50.44633622764782643),Operational,"North Wayton Farm, Landulph, Saltash",PA12/09275,4/9/2013,5,Operational,-4.2334,50.4463
Point (-4.84053582182629416 50.5456487129277221),Pre application - closed/issued,"Land N of Middle Amble Farmhouse, Chapel Amble, Wadebridge",PA12/02534/PREAPP,10/1/2012,0,Pre application public,-4.8405,50.5456
Point (-4.75391511962589153 50.54738279713703264),Pre application - closed/issued,"Land at Lamellen, St Tudy, Bodmin",PA12/02947/PREAPP,12/10/2012,8,Pre application public,-4.7539,50.5474
Point (-4.37789193274378086 50.40118646288834015),Operational on appeal,"Land at Wilton Farm, Trerulefoot, Saltash",PA12/11941,1/30/2014,9.8,Operational on appeal,-4.3779,50.4012
Point (-4.81587836680096171 50.43763124916488749),Operational,"Land North Of Kerriers, Withiel, Bodmin",PA12/10939,3/15/2013,9.58,Operational,-4.8159,50.4376
Point (-4.37955784316121743 50.43595734898273975),Operational,"Trehawke Barton, Blunts, Liskeard",PA12/11024,6/21/2013,9.6,Operational,-4.3796,50.436
Point (-5.15866287793390388 50.15170228536554475),Application approved with conditions,"Land At Halvasso Formerly Boundis Farm, Halvasso",PA12/09502,4/25/2013,5,Approved,-5.1587,50.1517
Point (-4.40334864530888215 50.70236589807084471),Operational,"Land West Of North Beer Farm, North Beer Lane, Boyton, Launceston",PA12/10520,2/11/2013,6.83,Operational,-4.4033,50.7024
Point (-5.14604976696099481 50.28873128721289731),Operational,"Four Burrows Farm, Four Burrows, Blackwater",PA13/01195,7/9/2013,7,Operational,-5.146,50.2887
Point (-4.54403841386087937 50.79539929502689688),Operational,"Creathorne Farm, Poundstock, Bude",,9/3/2013,1.4,Operational,-4.544,50.7954
,PA13/00489,,,,,,,
Point (-4.73368469920798329 50.4838007410541465),Operational,"Land at Middle Bodiniel Farm, Bodiniel Road, Bodmin",PA12/09057,4/12/2013,5.32,Operational,-4.7337,50.4838
Point (-5.34760006420652356 50.22016641519810776),Pre application - closed/issued,"Land at Higher Kehelland, Higher Kehelland, Camborne",PA12/02953/PREAPP,3/7/2013,0,Pre application public,-5.3476,50.2202
Point (-5.07460751751224315 50.30420859664201316),Operational,"Pennare Farm, St Allen, Truro",PA12/12106,4/26/2013,11,Operational,-5.0746,50.3042
