wkt_geom,LOCATION,APP_NO,STATUS,NO_OF_TURB,HUB_HT,TIP_HT,STATUS__OP,INSTALLED_,CAPACITY,Decision,lon,lat
Point (-4.64749016366033452 50.61818485717549976),"Crowdy WTWorks, Lowermoor, Camelford",NR/09/00487/WIND,Application approved & operational,1,30m max,40.5 max,Operational,1,0.1,1/31/2011,-4.6475,50.6182
Point (-5.14080398640127445 50.17545774389834179),Roskrow Barton Farm,W2/PA02/01417/F,Approved on appeal and operational,2,44m,75m,Operating appeal,2,1.7,2/25/2004,-5.1408,50.1755
Point (-5.04632149887863779 50.34819916580742927),"Carland Cross Windfarm, St Newlyn East",C1/EA28/2038/08/B,Approved on appeal and operational,10,60m,100,Operating appeal,10,20,1/19/2010,-5.0463,50.3482
Point (-4.95729065924150447 50.47008678838254525),"Bears Down, St Eval, Wadebridge",C2/00/00611,Application approved & operational,7,35,57m,Operational,7,4.2,11/8/2000,-4.9573,50.4701
Point (-4.96268665521488206 50.47333314825931438),"Bears Down, St Eval, Wadebridge",E1/98/1286,Application approved & operational,9,35,57m,Operational,9,5.4,3/3/2000,-4.9627,50.4733
Point (-5.20177803528974447 50.04527622701919398),Goonhilly,W2/PA07/02103/FM,Application approved & operational,6,67m,107m,Operational,6,12,8/4/2008,-5.2018,50.0453
Point (-4.48874126881313806 50.85230838384237018),"Norton Barton Farm, Launcells, Bude",PA11/01128,Application approved & operational,1,36m,53.7m,Operational,1,0.33,4/21/2011,-4.4887,50.8523
Point (-4.97146521256953378 50.3935071400741208),"Ennis Barton Farm, Fraddon, St Columb",PA11/00579,Application approved & operational,1,50m,76.25m,Operational,1,0.5,8/12/2011,-4.9715,50.3935
Point (-5.2162243510238957 50.13407305267893577),"Carnebone Farm, Laity, Wendron, Helston",W2/PA09/00799/F,Application approved & operational,1,24.8m,34.4m,Operational,1,0.035,9/21/2009,-5.2162,50.1341
Point (-4.75711018345132963 50.39936505459814953),"Tortoiseshell Barn, Bodiggo Park, Luxulyan",PA11/01515,Application approved & operational,1,29.6m,39.6m,Operational,1,0.05,1/10/2012,-4.7571,50.3994
Point (-5.19500167624401055 50.13523785370207264),"Treculliacks Farm, Constantine",W2/PA96/00427/F,Application approved & operational,1,---,17.5m,Operational,1,0,6/13/1997,-5.195,50.1352
Point (-4.38816000450151034 50.4972020529109713),"Redland High Down, off Charaton Road, Pensilva",E2/08/00329/FUL,Approved on appeal and operational,1,---,80m,Operating appeal,1,0.5,9/15/2009,-4.3882,50.4972
Point (-5.15313822081405437 50.28753195170220636),"Trevissome Park, Blackwater, Truro",C1/PA21/0600/10/G,Application approved & operational,1,25m,34m,Operational,1,0.05,1/5/2011,-5.1531,50.2875
Point (-4.62477585105210576 50.66520625149303214),"Greenfields, Davidstow, Camelford",NR/07/00108/SCHOP,Application in for scoping opinion,0,---,---,scoping,0,0,1899-12-30,-4.6248,50.6652
Point (-4.49750740097024959 50.88589546855029511),"Hollamoor Farm, Kilkhampton, Bude",PA11/04278,Application approved & operational,1,24.6m,34.2m,Operational,1,0.05,7/15/2011,-4.4975,50.8859
Point (-4.80091224912044634 50.4412471375551803),"Rosewarrick, Lanivet, Bodmin",PA11/03538,Application approved & operational,1,20m,26m,Operational,1,0.015,6/17/2011,-4.8009,50.4412
Point (-4.45192302673426443 50.89962925085807655),"Uppacott Farm, Kilkhampton, Bude",PA10/08517,Application approved & operational,1,24.8m,34.2m,Operational,1,0.05,3/11/2011,-4.4519,50.8996
Point (-4.45060866266968613 50.85047944732884417),"Moreton Pound, Launcells, Bude",PA10/08428,Application approved & operational,1,24.6m,34.1m,Operational,1,0.05,3/7/2011,-4.4506,50.8505
Point (-5.16347400607565543 50.16997447648962805),"Polkanuggo Farm, Stithians, Truro",PA11/01263,Approved on appeal and operational,1,40m,54.7m,Operating appeal,1,0.225,3/1/2012,-5.1635,50.17
Point (-5.13966649515619967 50.05181171857617528),"An-hay, St Martin, Helston",PA11/02269,Application approved & operational,1,15m,19.25m,Operational,1,0.015,6/2/2011,-5.1397,50.0518
Point (-5.15083966644965408 50.05479719846785258),"Tregeague Farm, Tregidden, St Martin",PA11/02455,Application approved & operational,1,15m,19.25m,Operational,1,0.015,6/1/2011,-5.1508,50.0548
Point (-4.95612980168597517 50.30726581268120867),"Treworgans Farm, Ladock",PA11/00726,Application approved & operational,1,---,34.5m,Operational,1,0.05,6/2/2011,-4.9561,50.3073
Point (-4.92681085050254453 50.33373871555865975),"Cregan Gate, Grampound Road, Truro.",PA11/03928,Application approved & operational,1,---,34.5m,Operational,1,0.05,9/28/2011,-4.9268,50.3337
Point (-4.9317285381041529 50.33330809403828709),"Cregan Gate, Grampound Road, Truro",C1/PA15/0598/10/G,Application approved & operational,1,24.8m,34.4m,Operational,1,0.05,7/29/2010,-4.9317,50.3333
Point (-4.99959743614636487 50.31432946749689705),"Fields adj to Tregear Farm, Ladock",PA11/05038,Application approved & operational,1,25m,34.2m,Operational,1,0.05,8/22/2011,-4.9996,50.3143
Point (-4.93303548168201456 50.32100894295341931),"Woodland Valley Farm, Grampound Road",C1/PA15/0186/10/B,Application approved & operational,1,15m,20.2m,Operational,1,0.02,4/1/2010,-4.933,50.321
Point (-5.17023229860533551 50.29689112198281009),"Wrinklers Farm, Mithian Downs, St Agnes",PA11/03593,Application approved & operational,1,15m,17.75m,Operational,1,0.005,11/1/2011,-5.1702,50.2969
Point (-4.54895019129165146 50.6832031878887932),"Churchtown Farm, Warbstow, Launceston",PA11/04617,Application approved & operational,1,24.6m,34.2m,Operational,1,0.05,8/4/2011,-4.549,50.6832
Point (-5.19617197448894075 50.16586789556546933),"Land Adjacent 7 Roseline Estate, Carnkie",PA11/06053,Application approved & operational,1,18m,24.5m,Operational,1,0.011,1/20/2012,-5.1962,50.1659
Point (-5.44862705887411014 50.15119183588382867),"Tregethas Farm, 4 Long Lanes, St Erth",PA11/03830,Application approved & operational,2,20.5m,27m,Operational,2,0.04,8/5/2011,-5.4486,50.1512
Point (-5.15765831690067689 50.28310995138483008),"Roscarnick Farm, Threeburrows",PA11/01867,Application approved & operational,1,32m,48.4m,Operational,1,0.275,10/21/2011,-5.1577,50.2831
Point (-4.68287006583338705 50.63636279246706096),"Tregath Business Park, Station Road, Camelford",PA11/03905,Application approved & operational,1,20m,26m,Operational,1,0.02,8/15/2011,-4.6829,50.6364
Point (-4.9348524048084581 50.3216420568525109),"Woodland Valley Farmhouse, Ladock, Truro",PA11/06617,Application approved & operational,1,24.6m,34.2m,Operational,1,0.05,10/17/2011,-4.9349,50.3216
Point (-5.17459634332038032 50.28272835619039682),"Teagle Machinery Ltd, Blackwater, Truro",PA10/07633,Application approved & operational,3,25m,34.4m,Operational,2,0.1,9/1/2011,-5.1746,50.2827
Point (-4.89195974737989658 50.50305907745322287),"Hawksland Mill, St Issey, Wadebridge",PA11/06038,Application approved & operational,1,15m,18.4m,Operational,1,0.006,11/2/2011,-4.892,50.5031
Point (-4.97808332287510957 50.48679981597678079),"Trembleathe Barton, St Ervan",PA11/04753,Application approved & operational,1,18m,24.8m,Operational,1,0.011,8/12/2011,-4.9781,50.4868
Point (-4.92134447829408295 50.34272464969233596),"Penhale Farm, Trelyon, Truro",PA11/04747,Application approved & operational,1,24.6m,34.2m,Operational,1,0.05,8/22/2011,-4.9213,50.3427
Point (-4.60190504856804328 50.7191812986992403),"Pencuke Farm, Pencuke Lane",PA11/04304,Application approved & operational,1,18m,24.5m,Operational,1,0.011,8/25/2011,-4.6019,50.7192
Point (-4.60742413769307291 50.69882571813831618),"Carwitham Barton, Marshgate, Camelford",PA11/06439,Application approved & operational,1,25m,34.2m,Operational,1,0.055,11/2/2011,-4.6074,50.6988
Point (-5.65063360614406918 50.12446571243209092),"Cryor Farm, Newbridge, Penzance",PA11/06728,Application approved & operational,1,10m,13.05m,Operational,1,0.006,10/12/2011,-5.6506,50.1245
Point (-4.49680517583322104 50.90791309217065219),"Land at Crimp, Morwenstow",E1/2004/02831,Approved on appeal and operational,3,50m,81m,Operating appeal,3,3.9,3/25/2008,-4.4968,50.9079
Point (-5.35661475155332845 50.17423726638013193),"Land at Lemin Farm, 36 Reawla Lane",PA11/04518,Application approved & operational,1,24.6m,34.4m,Operational,1,0.05,9/12/2011,-5.3566,50.1742
Point (-4.53617494274006638 50.72314580622673219),"Witheven Stables, Jacobstow",PA11/06639,Application approved & operational,2,20m,26.4m,Operational,2,0.04,11/23/2011,-4.5362,50.7231
Point (-4.55767369863397764 50.6231307213674242),"Treboy Farm, St Clether, Launceston",PA11/01020,Application approved & operational,2,26.4m,36.2m,Operational,2,0.1,3/30/2011,-4.5577,50.6231
Point (-4.64370720021553574 50.69883727819975405),"Cargurra Farm, St Juliot, Boscastle",PA10/07516,Application approved & operational,2,18.3m,24.8m,Operational,2,0.022,12/30/2010,-4.6437,50.6988
Point (-5.12710414766546663 50.05206730549105743),"Land at Trelease Farm, Lanarth, St Keverne",W2/PA06/01633/F,Application approved & operational,1,12m,16m,Operational,1,0.01,11/17/2006,-5.1271,50.0521
Point (-4.60981668548514811 50.68592076548031855),Otterham Down (B),E1/2008/01702,Application approved & operational,1,46m,71m,Operational,1,0.8,12/1/2010,-4.6098,50.6859
Point (-5.54384532673734753 50.12605407868806395),"Penwith College, St Clare Street, Penzance",W1/08-0033,Application approved & operational,1,---,40m,Operational,1,0,4/16/2008,-5.5438,50.1261
Point (-4.574761812887016 50.74931881190280336),"Higher Trewint, Poundstock, Bude",PA11/07348,Application approved & operational,1,20m,27m,Operational,1,0.02,12/21/2011,-4.5748,50.7493
